District,Location Name,Latitude,Longitude,Crime Rate,Crowd Density,Street Lighting,Police Distance(km),Hospital Distance(km),Weather,Road Condition,Night Travel,Previous Incidents,Geo Fence,Response Time(min),Risk Level,Safety Score
Chennai,Marina Beach,13.05,80.2824,High,High,Good,1.3,4.7,Clear,Poor,No,2,Outside,20,Unsafe,23
Chennai,Elliot Beach,13.0003,80.2667,Low,Medium,Poor,2.7,2.8,Cloudy,Average,Yes,2,Outside,19,Unsafe,31
Chennai,Fort St George,13.0827,80.287,Medium,Low,Poor,2.9,4.8,Rain,Good,No,5,Outside,8,Unsafe,19
Chennai,Kapaleeshwar Temple,13.0339,80.269,Medium,Low,Poor,1.2,1.2,Clear,Poor,No,6,Safe,3,Unsafe,55
Chennai,Government Museum,13.0722,80.264,High,Low,Average,6.6,7.4,Cloudy,Average,Yes,2,Outside,20,Unsafe,0
Chennai,VGP Golden Beach,12.9124,80.2517,High,Medium,Poor,3.6,3.1,Rain,Average,No,6,Safe,11,Unsafe,12
Chennai,Guindy National Park,13.0108,80.2295,Medium,Low,Poor,1.3,9.9,Fog,Average,Yes,4,Outside,10,Unsafe,9
Chennai,Anna Nagar Tower Park,13.085,80.2101,High,Low,Average,7.4,0.6,Clear,Poor,No,6,Outside,19,Unsafe,5
Coimbatore,VOC Park,11.0032,76.9725,High,High,Poor,6.1,5.9,Fog,Poor,Yes,1,Safe,5,Unsafe,0
Coimbatore,Marudhamalai Temple,11.0453,76.862,Medium,High,Good,2.7,0.9,Fog,Good,No,1,Safe,5,Medium,63
Coimbatore,Isha Yoga Center,10.9862,76.7356,Medium,High,Poor,3.5,4.7,Fog,Good,No,3,Outside,19,Unsafe,13
Coimbatore,Siruvani Falls,10.947,76.691,High,Medium,Poor,6.2,0.6,Fog,Poor,Yes,8,Outside,13,Unsafe,0
Coimbatore,Brookefields Mall,11.0183,76.9725,Low,Low,Average,5.4,4.8,Cloudy,Poor,Yes,0,Outside,15,Unsafe,32
Coimbatore,Perur Temple,10.976,76.9123,Low,Medium,Good,5.9,6.7,Rain,Poor,No,0,Safe,16,Unsafe,57
Coimbatore,Black Thunder,11.3122,76.9415,High,High,Average,2.7,1.3,Clear,Poor,No,2,Outside,17,Unsafe,13
Coimbatore,Kovai Kutralam,10.9414,76.7602,Medium,High,Good,7.9,2.3,Clear,Average,No,1,Outside,3,Unsafe,33
Madurai,Meenakshi Temple,9.9195,78.1193,Medium,Low,Good,2.9,7.3,Fog,Average,Yes,6,Outside,14,Unsafe,13
Madurai,Thirumalai Nayakkar Mahal,9.916,78.1213,Medium,High,Poor,6.3,8.5,Clear,Average,No,3,Safe,6,Unsafe,13
Madurai,Alagar Kovil,10.0203,78.1745,Medium,Low,Good,6.9,2.9,Clear,Good,Yes,1,Safe,6,Unsafe,51
Madurai,Vaigai Dam,9.8264,77.4947,Low,High,Poor,4.5,1.5,Fog,Poor,Yes,7,Outside,3,Unsafe,16
Madurai,Gandhi Museum,9.934,78.1306,High,High,Average,7.9,5.8,Fog,Poor,No,1,Outside,18,Unsafe,0
Madurai,Samanar Hills,9.8883,78.0675,High,High,Average,0.9,9.7,Fog,Poor,Yes,0,Outside,13,Unsafe,0
Madurai,Pazhamudhircholai,10.0321,78.1776,High,Low,Good,6.5,6.5,Cloudy,Poor,No,7,Outside,9,Unsafe,0
Madurai,Vandiyur Mariamman Temple,9.9304,78.1502,Medium,Medium,Poor,2.5,6.9,Clear,Average,No,6,Safe,14,Unsafe,22
Salem,Yercaud Lake,11.7753,78.2095,Medium,Low,Poor,3.6,1.7,Rain,Average,No,8,Safe,14,Unsafe,41
Salem,Pagoda Point,11.7835,78.2145,High,Low,Good,5.0,7.5,Rain,Average,Yes,0,Outside,20,Unsafe,5
Salem,Anna Park,11.7741,78.209,High,Medium,Poor,4.6,5.6,Clear,Poor,No,4,Outside,8,Unsafe,0
Salem,Kiliyur Falls,11.7793,78.214,Medium,Medium,Poor,6.6,4.5,Clear,Good,Yes,3,Safe,8,Unsafe,16
Salem,1008 Lingam Temple,11.6643,78.146,Medium,Medium,Good,3.4,3.6,Fog,Average,No,6,Safe,20,Unsafe,50
Salem,Mettur Dam,11.8005,77.8002,Medium,Low,Average,5.0,8.5,Cloudy,Average,No,4,Safe,11,Unsafe,41
Salem,Sugavaneswarar Temple,11.6643,78.146,High,Medium,Good,1.5,7.3,Fog,Poor,Yes,4,Safe,16,Unsafe,22
Salem,Kurumbapatti Zoo,11.687,78.1502,Low,Medium,Good,2.3,10.0,Rain,Average,Yes,2,Safe,5,Unsafe,51
Namakkal,Namakkal Fort,11.2194,78.1676,Low,Low,Average,1.4,6.3,Rain,Good,No,0,Outside,20,Unsafe,54
Namakkal,Anjaneyar Temple,11.219,78.1675,High,High,Poor,2.4,5.7,Cloudy,Poor,Yes,4,Safe,5,Unsafe,0
Namakkal,Kolli Hills,11.2485,78.3435,High,High,Average,4.5,7.0,Cloudy,Good,No,5,Outside,13,Unsafe,0
Namakkal,Aagaya Gangai Falls,11.2735,78.3335,Medium,Low,Average,5.7,4.9,Fog,Average,No,2,Safe,5,Unsafe,45
Namakkal,Rasipuram Temple,11.4605,78.1865,Low,High,Poor,2.2,7.0,Fog,Poor,No,7,Outside,16,Unsafe,10
Namakkal,Mohanur River,11.0605,78.14,Low,High,Poor,4.8,6.1,Rain,Average,Yes,5,Outside,8,Unsafe,2
Namakkal,Paramathi Velur,11.1098,78.0031,High,Low,Good,5.6,2.1,Fog,Good,No,5,Safe,5,Unsafe,35
Namakkal,Naina Malai,11.317,78.205,Medium,Low,Good,6.1,4.9,Cloudy,Good,No,8,Safe,20,Unsafe,41
Karur,Pasupatheswarar Temple,10.9601,78.0766,High,Medium,Average,0.5,4.7,Cloudy,Good,Yes,4,Safe,15,Unsafe,24
Karur,Pugalur,10.9301,78.036,Low,High,Poor,5.0,6.8,Rain,Average,Yes,0,Outside,11,Unsafe,12
Karur,Kalyana Venkataramana Temple,10.9595,78.0764,Low,Low,Average,3.0,8.1,Cloudy,Average,Yes,2,Safe,4,Unsafe,48
Karur,Nerur Temple,10.9032,78.0625,Medium,Low,Poor,4.4,4.9,Fog,Poor,No,8,Safe,6,Unsafe,33
